business_id,business_name,business_address,business_city,business_state,business_postal_code,business_phone_number,business_latitude,business_longitude,analysis_neighborhood,permit_type
06733066,CULTIVAR,900 N POINT ST,San Francisco,CA,,,37.80553500000100,-122.4231975000020,Russian Hill,"H24 - RESTAURANT UNDER 1,000 SQFT"
06733067,YELLOWSTONE MARKET,714 OFARRELL ST,San Francisco,CA,,,37.78536921250400,-122.4165924246080,Tenderloin,H03 - RETAIL MKTS W/O PREP (UNDER 5001)
06733068,MISS T,708 KEARNY ST,San Francisco,CA,,,37.79465400000100,-122.4045495000020,Chinatown,"H24 - RESTAURANT UNDER 1,000 SQFT"
06733075,MERCHANT ROOTS,1148   MISSION ST,San Francisco,CA,,,37.77855300000100,-122.4121635000020,South of Market,"H26 - RESTAURANT OVER 2,000 SQFT"
06733076,"WELCOME MARKET & LIQUOR, INC",1141 FOLSOM ST,San Francisco,CA,,,37.77588900000100,-122.4085590000020,South of Market,H03 - RETAIL MKTS W/O PREP (UNDER 5001)
06733077,TAJINES,532   GREEN ST,San Francisco,CA,,,37.79985600000100,-122.4080235000020,North Beach,"H26R - RESTAURANT OVER 2,000 SQFT"
06733078,CITY CHOICE MARKET,301 5TH ST,San Francisco,CA,,,37.78017300000100,-122.4029655000020,South of Market,H07 - RETAIL MKTS W/FOOD PREP (UNDER 5001)
06733080,THE HOWARD,661 HOWARD ST,San Francisco,CA,,,37.78534800000100,-122.3994690000020,Financial District/South Beach,"H26 - RESTAURANT OVER 2,000 SQFT"
06733081,FAIRUZ,519 COLUMBUS AVE,San Francisco,CA,,,37.79967600000100,-122.4096795000020,Chinatown,"H24 - RESTAURANT UNDER 1,000 SQFT"
06733082,SEXTANT COFFEE ROASTERS,539 VALENCIA ST,San Francisco,CA,,,37.76431500000100,-122.4215820000020,Mission,"H24 - RESTAURANT UNDER 1,000 SQFT"
06733090,HOKKAIDO SASHIMI,5423 GEARY BLVD,San Francisco,CA,,,37.78011000000100,-122.4776745000020,Outer Richmond,"H25 - RESTAURANT 1,000 - 2,000 SQFT"
06733092,Rap/Hilltop School,1325 FLORIDA ST,San Francisco,CA,,,37.75049100000100,-122.4097065000020,Mission,PUBLIC SCHOOL CAFETERIA WITH FOOD PREP
06733094,SE7ENBUDS RESTAURANT,1426 POLK ST,San Francisco,CA,,,37.79007300000100,-122.4203355000020,Nob Hill,"H25 - RESTAURANT 1,000 - 2,000 SQFT"
06733096,TF LI EXPRESS LLC,2899 SAN BRUNO AVE,San Francisco,CA,,,37.72537200000100,-122.4025515000020,Portola,H03 - RETAIL MKTS W/O PREP (UNDER 5001)
06733099,BETTOLA,343 CLEMENT ST,San Francisco,CA,,,37.78290900000100,-122.4627795000020,Inner Richmond,"H25 - RESTAURANT 1,000 - 2,000 SQFT"
06733102,WAVE COLLECTIVE,663 HAIGHT ST,San Francisco,CA,,,37.77152400000100,-122.4330885000020,Haight Ashbury,"H24 - RESTAURANT UNDER 1,000 SQFT"
06733103,BUTTER & CRUMBLE,271 FRANCISCO ST,San Francisco,CA,,,37.80495900000100,-122.4096435000020,North Beach,H88 - RETAIL BAKERIES WITH FOOD PREP
06733104,BUN APPETIT SF,320 11TH ST,San Francisco,CA,,,37.77129000000100,-122.4136980000020,Mission,"H25 - RESTAURANT 1,000 - 2,000 SQFT"
06733106,BON APPETIT MANAGEMENT CO,651 BRANNAN ST,San Francisco,CA,,,37.77523200000100,-122.3996445000020,Mission Bay,H84 - EMPLOYEE CAFETERIAS W/FOOD PREP
06733107,ZENTAROU SUSHI AND SAKE BAR,1380 9TH AVE,San Francisco,CA,,,37.76261400000100,-122.4658935000020,Inner Sunset,"H25 - RESTAURANT 1,000 - 2,000 SQFT"
06733108,JW MARRIOTT SAN FRANCISCO UNION SQUARE,500   POST ST,San Francisco,CA,,,37.78814700000100,-122.4104580000020,Nob Hill,H03 - RETAIL MKTS W/O PREP (UNDER 5001)
06733109,OKE POKE,475 6TH ST,San Francisco,CA,,,37.77658200000100,-122.4026145000020,South of Market,H07 - RETAIL MKTS W/FOOD PREP (UNDER 5001)
06733110,ANTIGUA GUATEMALA RESTAURANT,2732 24TH ST,San Francisco,CA,,,37.75308300000100,-122.4070875000020,Mission,"H25 - RESTAURANT 1,000 - 2,000 SQFT"
06733115,To be determined,1046 IRVING ST,San Francisco,CA,,,37.76416200000100,-122.4692325000020,Inner Sunset,"H24 - RESTAURANT UNDER 1,000 SQFT"
06733120,CAKE THERAPY,611 FLORIDA ST,San Francisco,CA,,,37.76121000000100,-122.4108720000020,Mission,H99 - COTTAGE FOOD OPERATIONS - TIER B (INDIRECT SALES)
06733121,Jai Ho Indian Grocery,1450 FILLMORE ST,San Francisco,CA,,,37.78286400000100,-122.4323370000020,Western Addition,H03 - RETAIL MKTS W/O PREP (UNDER 5001)
06733123,SAINT FRANK COFFEE,120 FOLSOM ST,San Francisco,CA,,,37.78996500000100,-122.3913825000020,Financial District/South Beach,"H25 - RESTAURANT 1,000 - 2,000 SQFT"
06733128,MARCO POLO ITALIAN ICE CREAM INC.,90 -92 CHARTER OAK AVE APT,San Francisco,CA,,,37.73681797913100,-122.4053120344900,Bayview Hunters Point,H07 - RETAIL MKTS W/FOOD PREP (UNDER 5001)
06733129,SF HOLE IN THE WALL PIZZA,3244 SCOTT ST,San Francisco,CA,,,37.79990100000100,-122.4408150000020,Marina,"H24 - RESTAURANT UNDER 1,000 SQFT"
06733130,UNION SQUARE PIZZA & KITCHEN,284   OFARRELL ST,San Francisco,CA,,,37.78635600000100,-122.4095355000020,Tenderloin,"H24R - RESTAURANT UNDER 1,000 SQFT"
06733133,EL TACO LOCO,3274 24TH ST,San Francisco,CA,,,37.75249800000100,-122.4179100000020,Mission,"H26 - RESTAURANT OVER 2,000 SQFT"
06733136,FLYWHEEL COFFEE ROASTERS,22 BATTERY ST,San Francisco,CA,,,37.79158500000100,-122.3993745000020,Financial District/South Beach,"H24 - RESTAURANT UNDER 1,000 SQFT"
06733138,CARLIN'S CORNER COFFEESHOP LLC,298 VALENCIA ST,San Francisco,CA,,,37.76831100000100,-122.4225450000020,Mission,"H24 - RESTAURANT UNDER 1,000 SQFT"
06733139,Lunette Cambodia,THE EMBARCADERO & MARKET ST,San Francisco,CA,,,37.79493499444600,-122.3942650213810,Financial District/South Beach,"H25 - RESTAURANT 1,000 - 2,000 SQFT"
06733142,COMPAGNON BAKERY,3251 20TH AVE,San Francisco,CA,,,37.72847700000100,-122.4768375000020,Lakeshore,H34 - PUSHCARTS (RETAIL FOOD VEHICLE)
06733145,ALORA,PIER 3 THE EMBARCADERO,San Francisco,CA,,,37.80902755823000,-122.4157491149100,North Beach,"H26 - RESTAURANT OVER 2,000 SQFT"
06733146,OTHERWISE BREWING,1402   GRANT AVE,San Francisco,CA,,,37.80002700000100,-122.4071550000020,North Beach,H87R- BARS/TAVERNS W/FOOD PREP
06733150,"SWEET DELIGHT BAKERY, INC.",4476   MISSION ST,San Francisco,CA,,,37.72621800000100,-122.4340200000020,Outer Mission,"H25 - RESTAURANT 1,000 - 2,000 SQFT"
06733151,NUSA,3450 3RD ST,San Francisco,CA,,,37.74519000000100,-122.3873730000020,Bayview Hunters Point,H30 - CATERING FACILITIES
06733157,NEW STAR ELL,501 DIVISADERO ST,San Francisco,CA,,,37.77415200000100,-122.4379440000020,Hayes Valley,H03 - RETAIL MKTS W/O PREP (UNDER 5001)
06733158,NAKORN THAI SF,639   CLEMENT ST,San Francisco,CA,,,37.78263000000100,-122.4661545000020,Inner Richmond,"H25 - RESTAURANT 1,000 - 2,000 SQFT"
06733161,LENG GROUP INC,1919   IRVING ST,San Francisco,CA,,,37.76339700000100,-122.4785475000020,Sunset/Parkside,"H25 - RESTAURANT 1,000 - 2,000 SQFT"
06733162,PIXLCAT COFFEE,519   CLEMENT ST,San Francisco,CA,,,37.78268400000100,-122.4649530000020,Inner Richmond,"H25 - RESTAURANT 1,000 - 2,000 SQFT"
06733164,324N POPCORN CART,1 WARRIORS WAY,San Francisco,CA,,,37.76800500000100,-122.3875755000020,Mission Bay,H36 - STADIUM CONCESSIONS (PERM)
06733166,319W AMPM STAND,1 WARRIORS WAY,San Francisco,CA,,,37.76800500000100,-122.3875755000020,Mission Bay,H36 - STADIUM CONCESSIONS (PERM)
06733167,TYCHE,125 MASON ST,San Francisco,CA,,,37.78475400000100,-122.4097785000020,Tenderloin,H79 - MOBILE FOOD FACILITY CLASS 5
06733169,BARISTA,3313 SACRAMENTO ST,San Francisco,CA,,,37.78799400000100,-122.4471960000020,Presidio Heights,"H24 - RESTAURANT UNDER 1,000 SQFT"
06733171,BOCCONCINO,516   GREEN ST,San Francisco,CA,,,37.79982900000100,-122.4078480000020,North Beach,"H25R - RESTAURANT 1,000 - 2,000 SQFT"
06733173,FRISCO FLAVOR,3331 24TH ST,San Francisco,CA,,,37.75217116232200,-122.4192069351190,Mission,"H25 - RESTAURANT 1,000 - 2,000 SQFT"
06733175,THE FLY TRAP,606   FOLSOM ST,San Francisco,CA,,,37.78542000000100,-122.3970795000020,Financial District/South Beach,"H26 - RESTAURANT OVER 2,000 SQFT"
06733176,BIRRIERIA LUCAS,1661 TENNESSEE ST,San Francisco,CA,,,37.75095000000100,-122.3881380000020,Bayview Hunters Point,H74 - CATERER
06733177,SF GOURMET BOUTIQUE,1300 DOLORES ST,San Francisco,CA,,,37.74849300000100,-122.4251910000020,Noe Valley,H07 - RETAIL MKTS W/FOOD PREP (UNDER 5001)
06733178,SAISON CELLAR SF LLC,228 TOWNSEND ST,San Francisco,CA,,,37.77827400000100,-122.3938935000020,South of Market,H86 - BARS/TAVERNS W/O FOOD PREP
06733181,CA INSTITUTE OF INTEGRAL STDS,1453 MISSION ST,San Francisco,CA,,,37.77458400000100,-122.4161910000020,South of Market,H78 - MOBILE FOOD FACILITY CLASS 4
06733182,SUNSET ROASTERS COFFEE CO.,103 HORNE AVE,San Francisco,CA,,,37.72659600000100,-122.3656245000020,Bayview Hunters Point,H78 - MOBILE FOOD FACILITY CLASS 4
06733183,TACOS SAN FRANCISCO,345   WILLIAMS AVE,San Francisco,CA,,,37.72980900000100,-122.3992620000020,Bayview Hunters Point,H79R - MOBILE FOOD FACILITY CLASS 5
06733184,TIERRA CALIENTE,270 NAPOLEON ST,San Francisco,CA,,,37.74655800000100,-122.4013725000020,Bayview Hunters Point,H79 - MOBILE FOOD FACILITY CLASS 5
06733185,CHILITOS,103 HORNE AVE,San Francisco,CA,,,37.72659600000100,-122.3656245000020,Bayview Hunters Point,H79 - MOBILE FOOD FACILITY CLASS 5
06733186,Q BAR,456 CASTRO ST,San Francisco,CA,,,37.76160600000100,-122.4354465000020,Castro/Upper Market,H86 - BARS/TAVERNS W/O FOOD PREP
06733189,PESCATORE,2455 MASON ST,San Francisco,CA,,,37.80644400000100,-122.4139050000020,North Beach,"H26 - RESTAURANT OVER 2,000 SQFT"
06733191,BLUE BARN COLE VALLEY,901 COLE STREET,San Francisco,CA,,,37.76560200000100,-122.4502290000020,Haight Ashbury,"H26 - RESTAURANT OVER 2,000 SQFT"
06733193,SAM'S EAST,620 BROADWAY,San Francisco,CA,,,37.79808300000100,-122.4075105000020,Chinatown,"H24 - RESTAURANT UNDER 1,000 SQFT"
06733196,TASTE OF OLD STREET,5336   GEARY BLVD,San Francisco,CA,,,37.78076700000100,-122.4768060000020,Outer Richmond,"H24R - RESTAURANT UNDER 1,000 SQFT"
06733197,WOULD YOU BELIEVE,4652   GEARY BLVD,San Francisco,CA,,,37.78105500000100,-122.4694845000020,Inner Richmond,H86R - BARS/TAVERNS W/O FOOD PREP
